title,money,knoladge,company,addition,city,link
Инженер Программист,,PYTHON JAVA POSTGRESQL MYSQL,"ФГБУ ""Научно-исследовательский центр космической гидрометеорологии ""Планета""",,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/inzhener-programmist-43147987.html
"Инженер (инженеры 1 категории, 2 категории)",60,MATLAB LABVIEW PYTHON CC R LATEX,ФГУП ВНИИФТРИ,,Менделеево,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/inzhener-41889027.html
Инженер-программист встраиваемых систем,,LINUX BASH PYTHON,Технопарк «Сколково»,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/inzhener-programmist-vstraivaemyh-sistem-44718631.html
Data scientist,,PYTHON NPV DATA SCIENCE,СБЕР,['Будьте первым'],Нижний Новгород,https://www.superjob.ru/vacancy/search/?keywords=data%20science&noGeo=1/vakansii/data-scientist-45573908.html
Data Scientist,,CTR CPC CPM VR VTR PYTHON SQL SPARK ML,Технопарк «Сколково»,,Москва,https://www.superjob.ru/vacancy/search/?keywords=data%20science&noGeo=1/vakansii/data-scientist-44950974.html
Data-analysis-разработчик,,UNIX,Friendwork,,Москва,https://www.superjob.ru/vacancy/search/?keywords=data%20science&noGeo=1/vakansii/data-analysis-razrabotchik-45229479.html
Javascript junior,60,ELIXIR LIVEVIEW JS,ВНИИЖТ,,Санкт-Петербург,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/javascript-junior-45579765.html
Node.js backend разработчик,,NODEJS GROWTH HACKING NODE JS SQL JSTS GIT API VK TELEGRAM,МЬЮЗИК РОКЕТ,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/node-45488825.html
Middle Vue.JS разработчик (frontend-разработчик),100,JS ES,Московский завод Физприбор,,Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/middle-vue-42997148.html
Специалист службы поддержки с техническими знаниями,15,JAVASCRIPT HTML PYTHON,Яндекс,"['Опыт не нужен', 'Удаленная работа', 'Доступно для соискателей с ограниченными возможностями']",Тольятти,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-45455028.html
Преподаватель специальных дисциплин (09.02.06 Сетевое и системное администрирование),85,C C JS PHP PYTHON,МГОК,['Будьте первым'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/prepodavatel-specialnyh-disciplin-45583110.html
Системный администратор,25,LINUX OC WINDOWS PYTHON JAVASCRIPT POWERSHELL ZABBIX,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,['Опыт не нужен'],Волгоград,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/sistemnyj-administrator-45394893.html
Разработчик,,JAVASCRIPT BOOTSTRAP CSS HTML,МГТС,['Удаленная работа'],Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/razrabotchik-45342391.html
Программист (Java-разработчик),100,HTML JAVASCRIPT VANILLA JQUERY VUEJS MAVEN,ФГАОУ ВО РНИМУ им. Н. И. Пирогова Минздрава России,"['Доступно для соискателей с ограниченными возможностями', 'Доступно студентам']",Москва,https://www.superjob.ru/vacancy/search/?keywords=js&noGeo=1/vakansii/programmist-41662750.html
