title,money,knoladge,company,addition,city,link
Кладовщик-комплектовщик (ночная смена),117.0,,Азбука вкусаПроверенный работодатель7.4,['Опыт не нужен'],Клин,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/kladovschik-komplektovschik-51086640.html
Слесарь по вентиляции и кондиционированию воздуха,85.0,,ЕВРОПЕЙСКИЙ,['Полная занятость'],"Москва, Филёвская линия, метро Киевская",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/slesar-po-ventilyacii-i-kondicionirovaniyu-vozduha-47020341.html
Врач-психотерапевт / Психиатр (м. Белорусская),150.0,,"Группа Компаний ""Медси""/АО ""ГРУППА КОМПАНИЙ ""МЕДСИ""Проверенный работодатель7.4",['Полная занятость'],"Москва, Грузинский переулок, 3А",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/vrach-psihoterapevt-50727212.html
Уборщица,151.5,,МагнолияПроверенный работодатель7.3,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/uborschica-50642607.html
Упаковщик-комплектовщик деталей,121.0,,Диал,"['Вахта', 'Опыт не нужен']",Москва,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/upakovschik-komplektovschik-detalej-50692366.html
Старший мерчендайзер/специалист по выкладке (контракт детское питание),171.0,,Эй - Пи Трейд7.5,"['Опыт не нужен', 'Полная занятость']",Якутск,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/starshij-merchendajzer-51130133.html
Плавильщик ферросплавов НЛМК,105.5,,Группа НЛМК,"['Опыт не нужен', 'Полная занятость']",Липецк,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/plavilschik-ferrosplavov-nlmk-50885414.html
Ведущий инженер – начальник группы системотехники,325.0,,Юго-Западная ТЭЦ6.6,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/veduschij-inzhener-47228503.html
Зубной техник,85.0,CADCAM SHAPE EXOCAD ZIRKONZAHN,Мегастом - Академия Дентальной Имплантации,['Полная занятость'],"Москва, Большой Козловский переулок, 10с2",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/zubnoj-tehnik-49099616.html
Супервайзер (территория КМВ),70.0,,ЮЖНАЯ СОКОВАЯ КОМПАНИЯ,,Пятигорск,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/supervajzer-51051317.html
