title,money,knoladge,company,addition,city,link
Ведущий инженер-конструктор,148.0,D SOLIDWORK D D,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/veduschij-inzhener-konstruktor-50854120.html
Инженер 1 категории ОЭ и ПО,442.5,AUTOCAD ALTIUM DESIGNER MICROSOFT OFFICE,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-1-kategorii-oe-i-po-50854121.html
Инженер 2 категории по конструкторской документации,126.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-2-kategorii-po-konstruktorskoj-dokumentacii-50854122.html
Инженер отдела ОЭС,93.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-otdela-oes-50854123.html
Инженер-электронщик,103.5,AUTOCAD ALTIUM,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-elektronschik-50854126.html
Радиомеханик по ремонту радиоэлектронной аппаратуры и приборов,90.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],Электросталь,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/radiomehanik-po-remontu-radioelektronnoj-apparatury-i-priborov-50854127.html
Специалист ОТК,65.0,,ТД Грасс7.1,['Опыт не нужен'],Волжский,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/specialist-otk-51073601.html
Инженер по контролю за эксплуатацией зданий и сооружений,80.0,,ТД Грасс7.1,,Волгоград,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-po-kontrolyu-za-ekspluataciej-zdanij-i-sooruzhenij-51073598.html
Специалист по охране окружающей среды (ООС),80.0,,ТД Грасс7.1,,Волгоград,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/specialist-po-ohrane-okruzhayuschej-sredy-51073595.html
Инженер по качеству,77.0,,ТД Грасс7.1,,Волжский,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-po-kachestvu-51073590.html
Дизайнер-визуализатор,70.0,,ТД Грасс7.1,,Волжский,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/dizajner-vizualizator-51073588.html
Графический дизайнер,70.0,PHOTOSHOP ILLUSTRATOR INDESIGN,ТД Грасс7.1,,Волгоград,https://russia.superjob.ru/vacancy/search/?page=44/vakansii/graficheskij-dizajner-51073586.html
Ведущий инженер технического надзора и строительства,73.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/veduschij-inzhener-tehnicheskogo-nadzora-i-stroitelstva-50854105.html
Старший специалист развития и менеджмента качества,496.5,WORD EXCEL,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/starshij-specialist-razvitiya-i-menedzhmenta-kachestva-50854106.html
Инженер по стандартизации 1 категории,50.0,,"""НПО ""Алмаз""7.9","['Опыт не нужен', 'Полная занятость']","Москва, Люблинско-Дмитровская линия, метро Селигерская",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/inzhener-po-standartizacii-1-kategorii-50854107.html
Главный специалист по охране труда,По договорённости,,"""НПО ""Алмаз""7.9","['Опыт не нужен', 'Полная занятость']","Москва, Авиамоторная улица, 57",https://russia.superjob.ru/vacancy/search/?page=44/vakansii/glavnyj-specialist-po-ohrane-truda-50854108.html
Водитель электроштабелера,94.0,,АПХ Мираторг6.6,['Сменный график'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/voditel-elektroshtabelera-51020645.html
Механик,91.0,,АПХ Мираторг6.6,['Сменный график'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/mehanik-51020643.html
Кладовщик / специалист склада,100.0,WMS,АПХ Мираторг6.6,"['Опыт не нужен', 'Сменный график']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/kladovschik-51020641.html
Грузчик,60.0,,"""НПО ""Алмаз""7.9","['Опыт не нужен', 'Полная занятость']","Москва, Дмитровское шоссе, 110",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/gruzchik-50854097.html
Грузчик-комплектовщик,126.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/gruzchik-komplektovschik-50854098.html
Специалист / Делопроизводитель,По договорённости,,"""НПО ""Алмаз""7.9","['Опыт не нужен', 'Полная занятость']","Москва, Ленинградский проспект, 80к16",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/specialist-50854099.html
Ведущий инженер (отдел электропитания),105.0,D SOLIDWORKS,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Дмитровское шоссе, 110",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/veduschij-inzhener-50854100.html
Ведущий инженер по испытаниям,95.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Люблинско-Дмитровская линия, метро Селигерская",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/veduschij-inzhener-po-ispytaniyam-50854101.html
Заместитель начальника отдела по защите информации,60.0,,Социальный фонд России,['Полная занятость'],Новосибирск,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/zamestitel-nachalnika-otdela-po-zaschite-informacii-50572182.html
Специалист отдела назначения и перерасчета пенсий,52.5,E,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Орехово-Зуево,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/specialist-otdela-naznacheniya-i-pererascheta-pensij-50690582.html
Консультант отдела мобилизационной подготовки и гражданской обороны,52.5,,Социальный фонд России,['Полная занятость'],"Москва, Смоленский бульвар, 20",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/konsultant-otdela-mobilizacionnoj-podgotovki-i-grazhdanskoj-oborony-50786209.html
Водитель,117.5,,ТД Грасс7.1,['Опыт не нужен'],Люберцы,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/voditel-51073573.html
Ведущий бухгалтер,80.0,,ТД Грасс7.1,,Волжский,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/veduschij-buhgalter-51073572.html
Плотник,60.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']",Домодедово,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/plotnik-51020623.html
Водитель погрузчика,90.0,,АПХ Мираторг6.6,['Полная занятость'],Домодедово,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/voditel-pogruzchika-51020621.html
Ревизор,По договорённости,,ТД Грасс7.1,['Опыт не нужен'],Волгоград,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/revizor-51073570.html
Уборщик,50.0,E TCA EO T,АПХ Мираторг6.6,"['Опыт не нужен', 'Сменный график']",Домодедово,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/uborschik-51020618.html
Ревизор,81.5,EXCEL WMS,АПХ Мираторг6.6,['Сменный график'],Домодедово,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/revizor-51020616.html
Специалист клиентской службы,25.0,,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Тюмень,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/specialist-klientskoj-sluzhby-50544508.html
Машинист холодильных установок,78.0,,АПХ Мираторг6.6,['Сменный график'],Подольск,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/mashinist-holodilnyh-ustanovok-51020614.html
Специалист-эксперт клиентской службы (на правах отдела),35.0,,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Курск,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/specialist-ekspert-klientskoj-sluzhby-50604481.html
Специалист Управления персонифицированного учета,52.5,MS OFFICE,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Сергиев Посад,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/specialist-upravleniya-personificirovannogo-ucheta-51020630.html
Тракторист,71.0,,АПХ Мираторг6.6,['Полная занятость'],Домодедово,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/traktorist-51020612.html
Грузчик,76.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Сменный график']",Домодедово,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/gruzchik-51020610.html
Ведущий специалист (генплан),100.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Дмитровское шоссе, 110",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/veduschij-specialist-50854089.html
Ведущий бухгалтер,80.0,MICROSOFT OFFICE,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Люблинско-Дмитровская линия, метро Селигерская",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/veduschij-buhgalter-50854090.html
Персональный водитель,93.5,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Ленинградский проспект, 80к16",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/personalnyj-voditel-50854091.html
Водитель-экспедитор,93.5,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, Ленинградский проспект, 80к16",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/voditel-ekspeditor-50854092.html
Фельдшер,50.0,,"""НПО ""Алмаз""7.9",['Сменный график'],"Москва, Люблинско-Дмитровская линия, метро Селигерская",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/feldsher-50854093.html
Главный специалист-эксперт отдела организации страхования профессиональных рисков,48.0,,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Барнаул,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/glavnyj-specialist-ekspert-otdela-organizacii-strahovaniya-professionalnyh-riskov-51148858.html
Контент-менеджер,75.0,,ТД Грасс7.1,,Волжский,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/kontent-menedzher-51073555.html
Консультант отдела по работе с медицинскими организациями,52.5,MS OFFICE WORD EXCEL,Социальный фонд России,"['Старт карьеры', 'Полная занятость']","Москва, улица Петра Романова, 16с1",https://russia.superjob.ru/vacancy/search/?page=45/vakansii/konsultant-otdela-po-rabote-s-medicinskimi-organizaciyami-51110021.html
Слесарь-ремонтник,387.0,,АПХ Мираторг6.6,['Полная занятость'],Курск,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/slesar-remontnik-51020558.html
Токарь-фрезеровщик,92.0,,АПХ Мираторг6.6,['Полная занятость'],Курск,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/tokar-frezerovschik-51020541.html
Экономист казначейства,80.0,,ГК Миллениум,,Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/ekonomist-kaznachejstva-51051552.html
Машинист насосных установок,34.5,,Т Плюс7.1,"['Опыт не нужен', 'Старт карьеры', 'Сменный график']",Пермь,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/mashinist-nasosnyh-ustanovok-50864181.html
Инженер АСУТП,169.0,,Т Плюс7.1,"['Старт карьеры', 'Сменный график']",Пермь,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/inzhener-asutp-50864185.html
Электрослесарь КИПиА,151.5,,Т Плюс7.1,"['Старт карьеры', 'Сменный график']",Пермь,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/elektroslesar-kipia-50864196.html
Инженер по ремонту,268.5,,Т Плюс7.1,"['Старт карьеры', 'Полная занятость']",Березники,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/inzhener-po-remontu-50864208.html
Электромонтер,206.0,,Т Плюс7.1,"['Старт карьеры', 'Полная занятость']",Березники,https://russia.superjob.ru/vacancy/search/?page=45/vakansii/elektromonter-50864218.html
Электромонтер,302.5,,Т Плюс7.1,"['Старт карьеры', 'Сменный график']",Пермь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/elektromonter-50864235.html
Инженер-электрик,424.5,,Т Плюс7.1,['Полная занятость'],Пермь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/inzhener-elektrik-50864253.html
Маляр,104.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Пермь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/malyar-50864376.html
Стропальщик,364.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Пермь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/stropalschik-50864442.html
Оператор-наладчик (производство семян),69.0,,АПХ Мираторг6.6,['Полная занятость'],Курск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/operator-naladchik-51020478.html
Торговый представитель (табачные изделия),100.0,,ГК Миллениум,,Ставрополь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/torgovyj-predstavitel-51051544.html
Электрослесарь по ремонту электрических машин,85.0,,Т Плюс7.1,['Полная занятость'],Саратов,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/elektroslesar-po-remontu-elektricheskih-mashin-50856251.html
Слесарь,65.0,,Т Плюс7.1,"['Отклик без резюме', 'Доступно для соискателей от 45+ лет', 'Доступно студентам']",Орск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/slesar-50856394.html
Ведущий специалист-эксперт общего отдела управления делами и организационной работы,328.0,,Социальный фонд России,,Нижний Новгород,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/veduschij-specialist-ekspert-obschego-otdela-upravleniya-delami-i-organizacionnoj-raboty-51073544.html
Электрослесарь по ремонту электрооборудования электростанций,60.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Ульяновск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/elektroslesar-po-remontu-elektrooborudovaniya-elektrostancij-50854842.html
Водитель автомобиля,52.5,,Социальный фонд России,['Полная занятость'],"Москва, Угрешская улица, 2с29",https://russia.superjob.ru/vacancy/search/?page=46/vakansii/voditel-avtomobilya-50533196.html
Специалист офиса продаж и обслуживания клиентов,40.0,E EXCEL,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Пермь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/specialist-ofisa-prodazh-i-obsluzhivaniya-klientov-50450841.html
Главный специалист по тендерам,118.0,,Т Плюс7.1,['Полная занятость'],Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/glavnyj-specialist-po-tenderam-50854655.html
Специалист по расчетам,По договорённости,,Т Плюс7.1,"['Отклик без резюме', 'Опыт не нужен', 'Доступно для соискателей с ограниченными возможностями']",Ижевск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/specialist-po-raschetam-50864231.html
Инженер энергоинспекции,382.25,,Т Плюс7.1,['Полная занятость'],Ижевск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/inzhener-energoinspekcii-50865185.html
Специалист по обслуживанию клиентов,339.0,,Т Плюс7.1,['Полная занятость'],Ижевск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/specialist-po-obsluzhivaniyu-klientov-50865220.html
Экономист,50.0,MS OFFICE EXCEL,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Ижевск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/ekonomist-50865229.html
Инженер по энергоснабжению,45.0,,Т Плюс7.1,['Полная занятость'],Воткинск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/inzhener-po-energosnabzheniyu-50865246.html
Менеджер по обслуживанию,71.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Грахово,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/menedzher-po-obsluzhivaniyu-50865252.html
Менеджер по работе с клиентами (энергоснабжение),142.5,MS OFFICE EXCEL WORD,Т Плюс7.1,['Полная занятость'],Ижевск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/menedzher-po-rabote-s-klientami-50865273.html
Торговый представитель на автомобиле компании (табачные изделия),100.0,,ГК Миллениум,['Опыт не нужен'],Зеленогорск (Красноярский край),https://russia.superjob.ru/vacancy/search/?page=46/vakansii/torgovyj-predstavitel-na-avtomobile-kompanii-51051495.html
Водитель крана манипулятора на базе КАМАЗ,120.0,INMAN IT,ГК Миллениум,['Вахта'],Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/voditel-krana-manipulyatora-na-baze-kamaz-51051485.html
Мерчандайзер,74.0,,ГК Миллениум,['Опыт не нужен'],Симферополь,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/merchandajzer-51051466.html
Менеджер по транспорту,146.0,WORD EXCEL,АПХ Мираторг6.6,['Сменный график'],Казань,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/menedzher-po-transportu-51020401.html
"Сканировщик/сканировщица товара (сигареты), ЗЖМ",43.0,TSD,ГК Миллениум,['Опыт не нужен'],Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/skanirovschik-51051451.html
Специалист по экспортному сопровождению,390.0,,АПХ Мираторг6.6,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/specialist-po-eksportnomu-soprovozhdeniyu-51020404.html
Старший юрисконсульт по работе с исполнительными листами,253.25,,Т Плюс7.1,['Полная занятость'],Сыктывкар,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/starshij-yuriskonsult-po-rabote-s-ispolnitelnymi-listami-50866429.html
Охранник (ЗЖМ),37.5,,ГК Миллениум,['Опыт не нужен'],Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/ohrannik-51051427.html
Заместитель руководителя отдела по работе с населением/Юрисконсульт по ОСС,150.0,,ГРАНЕЛЬЖКХ,,"Москва, Газгольдерная улица, 10",https://russia.superjob.ru/vacancy/search/?page=46/vakansii/zamestitel-rukovoditelya-otdela-po-rabote-s-naseleniem-51051407.html
Инженер КИПиА,130.0,,ГРАНЕЛЬЖКХ,,Красногорск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/inzhener-kipia-51051397.html
Юрисконсульт управления правовой работы с дебиторской задолженностью,По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Самара,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/yuriskonsult-upravleniya-pravovoj-raboty-s-debitorskoj-zadolzhennostyu-50854285.html
Бухгалтер по учету расходов,По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Самара,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/buhgalter-po-uchetu-rashodov-50854299.html
"Бухгалтер по учету основных средств, нематериальных активов и капиталовложений",По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Самара,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/buhgalter-po-uchetu-osnovnyh-sredstv-50854353.html
Бухгалтер по учету запасов,По договорённости,,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/buhgalter-po-uchetu-zapasov-50854356.html
Аппаратчик химводоотчистки 2 разряда НкТЭЦ-1,447.5,,Т Плюс7.1,"['Опыт не нужен', 'Сменный график']",Новокуйбышевск,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/apparatchik-himvodootchistki-2-razryada-nktec-1-50854363.html
Электрослесарь по ремонту аппаратуры релейной защиты и автоматики участка главной схемы,109.5,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Сызрань,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/elektroslesar-po-remontu-apparatury-relejnoj-zaschity-i-avtomatiki-uchastka-glavnoj-shemy-50854371.html
Ведущий специалист Управления тарифной политики,По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Самара,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/veduschij-specialist-upravleniya-tarifnoj-politiki-50854375.html
Электрогазосварщик 5 разряда,381.0,,Т Плюс7.1,['Сменный график'],Сызрань,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/elektrogazosvarschik-5-razryada-50854388.html
Специалист отдела хозяйственного обеспечения,По договорённости,SAP SAP,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/specialist-otdela-hozyajstvennogo-obespecheniya-50854391.html
Ведущий специалист Управления по работе с персоналом ТЭЦ ВАЗА,По договорённости,,Т Плюс7.1,['Полная занятость'],Тольятти,https://russia.superjob.ru/vacancy/search/?page=46/vakansii/veduschij-specialist-upravleniya-po-rabote-s-personalom-tec-vaza-50854477.html
Бухгалтер управления расчетов с контрагентами,По договорённости,,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/buhgalter-upravleniya-raschetov-s-kontragentami-50854482.html
Строгальщик,167.5,,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/strogalschik-50854492.html
Ведущий специалист управления активами и страхования,По договорённости,,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/veduschij-specialist-upravleniya-aktivami-i-strahovaniya-50854503.html
Электрослесарь по обслуживанию автоматики и средств измерений,127.5,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Сызрань,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/elektroslesar-po-obsluzhivaniyu-avtomatiki-i-sredstv-izmerenij-50854507.html
Ведущий специалист по документообороту,По договорённости,,Т Плюс7.1,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/veduschij-specialist-po-dokumentooborotu-50854508.html
Операционист 1С,50.0,,ГК Миллениум,['Опыт не нужен'],Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/operacionist-1s-51051413.html
Тракторист на полевые работы,120.0,D F,АПХ Мираторг6.6,['Полная занятость'],Орел,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/traktorist-na-polevye-raboty-51020364.html
Ведущий специалист клиентской службы,50.0,MS OFFICE,Социальный фонд России,"['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/veduschij-specialist-klientskoj-sluzhby-50646265.html
Инженер охранно-пожарной сигнализации,60.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/inzhener-ohranno-pozharnoj-signalizacii-50854626.html
Главный специалист отдела строительного контроля,По договорённости,,Т Плюс7.1,['Полная занятость'],Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/glavnyj-specialist-otdela-stroitelnogo-kontrolya-50854641.html
Ведущий инженер строительного контроля,По договорённости,,Т Плюс7.1,['Полная занятость'],Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/veduschij-inzhener-stroitelnogo-kontrolya-50854669.html
Главный специалист по подключениям к сетям теплоснабжения,По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/glavnyj-specialist-po-podklyucheniyam-k-setyam-teplosnabzheniya-50854687.html
Главный специалист Цеха АСУ ТП (Кировской ТЭЦ-3),439.5,,Т Плюс7.1,['Полная занятость'],Кирово-Чепецк,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/glavnyj-specialist-ceha-asu-tp-50854717.html
Специалист по компенсациям и льготам,По договорённости,,Т Плюс7.1,['Полная занятость'],Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/specialist-po-kompensaciyam-i-lgotam-50854788.html
Специалист отдела складской логистики,По договорённости,EXCEL,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/specialist-otdela-skladskoj-logistiki-50854876.html
Мастер АСУ ТП,181.5,,Т Плюс7.1,['Полная занятость'],Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/master-asu-tp-50854968.html
Главный специалист цеха АСУ ТП (Кировской ТЭЦ-4),76.0,,Т Плюс7.1,['Полная занятость'],Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/glavnyj-specialist-ceha-asu-tp-50854996.html
Специалист отдела снабжения,По договорённости,EXCEL,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/specialist-otdela-snabzheniya-50855010.html
Специалист отдела проведения закупок,По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/specialist-otdela-provedeniya-zakupok-50855017.html
Уборщик производственных помещений,По договорённости,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/uborschik-proizvodstvennyh-pomeschenij-50858654.html
Машинист-обходчик по турбинному оборудованию,328.5,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/mashinist-obhodchik-po-turbinnomu-oborudovaniyu-50858658.html
Машинист мостового крана,60.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/mashinist-mostovogo-krana-50858666.html
Машинист тепловоза,122.0,AE,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/mashinist-teplovoza-50858681.html
Машинист-обходчик Кировская ТЭЦ-4,57.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/mashinist-obhodchik-kirovskaya-tec-4-50858724.html
Машинист топливоподачи,444.5,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/mashinist-toplivopodachi-50858829.html
Составитель поездов,388.5,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=47/vakansii/sostavitel-poezdov-50858843.html
Старший продавец (м. Раменки),100.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']","Москва, Мичуринский проспект, 9к5",https://russia.superjob.ru/vacancy/search/?page=47/vakansii/starshij-prodavec-51020333.html
Продавец-кассир в супермаркет,84.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']",Лобня,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/prodavec-kassir-v-supermarket-51020331.html
Продавец-кассир Мираторг,77.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/prodavec-kassir-miratorg-51020327.html
Товаровед в Мираторг,83.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/tovaroved-v-miratorg-51020311.html
Пекарь в Мираторг,82.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Сменный график']",Москва,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/pekar-v-miratorg-51020309.html
Приемосдатчик,292.0,,АПХ Мираторг6.6,['Сменный график'],Солнечногорск,https://russia.superjob.ru/vacancy/search/?page=47/vakansii/priemosdatchik-51020307.html
